Import,Type,Label,pl
,,ID,ID
yes,%Y-%m-%d %H:%M:%S,submission_pabiq,Submit date
,,sb_ip,Submitter's IP
,,sb_username,Submitter's Username
,,sb_email,Submitter's Email Address
yes,,id,_id
,,form_group,form_group
yes,,caregiver1_relation,Kim jest Pani/Pan dla dziecka?
yes,%d-%m-%Y,birth_date,Data urodzenia dziecka:
yes,integer,age_years,Wiek dziecka (liczba skończonych lat):
yes,,country,Kraj zamieszkania dziecka:
yes,,region,Województwo/Region zamieszkania dziecka:
,,city,Miejscowość zamieszkania dziecka:
yes,,city_town_countryside,Typ miejscowości zamieszkania dziecka:
yes,logical,is_same_country,"Czy dziecko mieszka w kraju, w którym się urodziło?"
yes,,birth_country,Kraj urodzenia dziecka:
,,region_birth,Województwo/Region urodzenia dziecka:
,,city_birth,Miejscowość urodzenia dziecka:
,%d-%m-%Y,isc_when_old,Od kiedy dziecko mieszka w obecnym kraju zamieszkania?
yes,,sex,Płeć dziecka:
yes,integer,other_children,"Ile dzieci mieszka w tym samym gospodarstwie domowym co dziecko, którego dotyczy kwestionariusz?"
yes,integer,older_children,"Ile dzieci starszych od dziecka, którego dotyczy kwestionariusz, mieszka w tym gospodarstwie domowym?"
,,first_word,W jakim mniej więcej wieku (w miesiącach) dziecko wypowiedziało pierwsze słowo?
,,first_phrase,"W jakim mniej więcej wieku (w miesiącach) dziecko zaczęło składać słowa w pierwsze krótkie wypowiedzi? <i>(np: ""jeszcze mleko"", ""daj wodę"", ""Tomek spać"")</i>"
yes,logical,worried,Czy martwią Panią/Pana jakieś sprawy związane z rozwojem języka dziecka?
yes,,worried_why,"Proszę krótko opisać, co martwi Panią/Pana w związku z rozwojem języka dziecka:"
yes,logical,health_problems,Czy dziecko ma jakieś poważne problemy zdrowotne lub rozwojowe?
yes,,health_problems_what,"Proszę krótko opisać, na czym polegają problemy zdrowotne lub rozwojowe dziecka:"
yes,logical,hearing_loss,Czy dziecko kiedykolwiek utraciło chwilowo słuch?
yes,logical,other_lang,"Czy dziecko ma regularny kontakt z osobami mówiącymi do niego w języku innym niż polski (np. niania, dziadkowie)? <br>Proszę zaznaczyć ""TAK"" również wtedy, kiedy dziecko ma kontakt ze śląskim, kaszubskim lub jakąś regionalną odmianą języka polskiego."
,,choose_lang,"Proszę wybrać wszystkie języki (poza polskim), które dziecko regularnie słyszy w swoim otoczeniu. Proszę wypełnić tabelę również wtedy, kiedy dziecko ma kontakt ze śląskim, kaszubskim lub jakąś odmianą języka polskiego.<br>Jeśli dziecko słyszy więcej niż trzy języki inne niż polski, prosimy o uwzględnienie tylko trzech najczęściej używanych języków."
yes,,inny.1,inny_1
yes,,inny.2,inny_2
yes,,inny.3,inny_3
yes,,lang_fluent,W którym języku dziecko czuje się najswobodniej?
yes,,lang_frequency,Jak często dziecko miało kontakt z każdym z poniższych języków do tej pory?
yes,,lang_first_contact,W jakim wieku dziecko miało pierwszy kontakt z danym językiem? <i>(w miesiącach)</i>
,,native_q1,Język polski:...38
,,other1_q1,"Język <span class=""qLabel""><b>inny 1</b></span>:...39"
,,other2_q1,"Język <span class=""qLabel""><b>inny 2</b></span>:...40"
,,other3_q1,"Język <span class=""qLabel""><b>inny 3</b></span>:...41"
,,native_q2,Język polski:...42
,,other1_q2,"Język <span class=""qLabel""><b>inny 1</b></span>:...43"
,,other2_q2,"Język <span class=""qLabel""><b>inny 2</b></span>:...44"
,,other3_q2,"Język <span class=""qLabel""><b>inny 3</b></span>:...45"
,,native_q3,Język polski:...46
,,other1_q3,"Język <span class=""qLabel""><b>inny 1</b></span>:...47"
,,other2_q3,"Język <span class=""qLabel""><b>inny 2</b></span>:...48"
,,other3_q3,"Język <span class=""qLabel""><b>inny 3</b></span>:...49"
,,native_q4,Język polski:...50
,,other1_q4,"Język <span class=""qLabel""><b>inny 1</b></span>:...51"
,,other2_q4,"Język <span class=""qLabel""><b>inny 2</b></span>:...52"
,,other3_q4,"Język <span class=""qLabel""><b>inny 3</b></span>:...53"
,,native_q5,Język polski:...54
,,other1_q5,"Język <span class=""qLabel""><b>inny 1</b></span>:...55"
,,other2_q5,"Język <span class=""qLabel""><b>inny 2</b></span>:...56"
,,other3_q5,"Język <span class=""qLabel""><b>inny 3</b></span>:...57"
,,native_q6,Język polski:...58
,,other1_q6,"Język <span class=""qLabel""><b>inny 1</b></span>:...59"
,,other2_q6,"Język <span class=""qLabel""><b>inny 2</b></span>:...60"
,,other3_q6,"Język <span class=""qLabel""><b>inny 3</b></span>:...61"
,,caregiver1_lang,"Język, w którym <b>Pani/Pan rozmawia z dzieckiem</b>:"
,,is_caregiver2,Czy rodzic/opiekun wypełniający kwestionariusz jest jedynym opiekunem wychowującym dziecko?
,,caregiver2_relation,Kim jest dla dziecka drugi rodzic/opiekun?
,,caregiver2_lang,"Język, w którym <b>drugi rodzic/opiekun rozmawia z dzieckiem</b>:"
,integer,other_caregivers,"Czy są jeszcze inni dorośli, którzy regularnie zajmują się dzieckiem? (np. babcia, niania, opiekun(ka))?"
,,caregiver3_relation,Kim jest dla dziecka dodatkowy opiekun?
,,caregiver3_lang,"Język, w którym <b>dodatkowy opiekun rozmawia z dzieckiem</b>:"
,,caregiver4_relation,Kim jest dla dziecka dodatkowy opiekun 2?
,,caregiver4_lang,"Język, w którym <b>dodatkowy opiekun 2 rozmawia z dzieckiem</b>:"
,,other_children_lang,"Język, w którym <b>dziecko rozmawia z innymi dziećmi mieszkającymi w tym samym domu</b>:"
,,school,Czy dziecko regularnie uczęszcza do przedszkola/szkoły?
,integer,school_days,Ile <b>dni tygodniowo</b> dziecko uczęszcza do przedszkola/szkoły?
,integer,school_hours,Ile <b>godzin dziennie</b> dziecko spędza w przedszkolu/szkole?
,,sat_school,Czy dziecko uczęszcza na zajęcia w polskiej szkole sobotniej? <i>(dotyczy dzieci polskojęzycznych mieszkających poza granicami Polski)</i>
,,activity_freq_native,Język <b>polski</b>:...76
,,activity_freq_other1,"Język <span class=""qLabel""><b>inny 1</b></span>:...77"
,,activity_freq_other2,"Język <span class=""qLabel""><b>inny 2</b></span>:...78"
,,activity_freq_other3,"Język <span class=""qLabel""><b>inny 3</b></span>:...79"
,,friends_lang,"Język, w którym <b>dziecko rozmawia z kolegami/koleżankami, z którymi bawi się regularnie</b>:"
,,guests_lang,"Język, w którym <b>dziecko rozmawia z odwiedzającymi Państwa regularnie gośćmi</b>:"
,,caregiver1_birth_country,Pani/Pana kraj urodzenia:
,,is_caregiver1_work,Czy obecnie Pani/Pan pracuje zawodowo?
